"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","id","reply_count","retweet_count","symbols/0","symbols/1","symbols/2","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","urls/2/display_url","urls/2/expanded_url","urls/2/url","urls/3/display_url","urls/3/expanded_url","urls/3/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_extensions_sensitive_media_warning","user/profile_banner_url","user/profile_image_extensions_sensitive_media_warning","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","user_mentions/5/id_str","user_mentions/5/name","user_mentions/5/screen_name","user_mentions/6/id_str","user_mentions/6/name","user_mentions/6/screen_name","user_mentions/7/id_str","user_mentions/7/name","user_mentions/7/screen_name","user_mentions/8/id_str","user_mentions/8/name","user_mentions/8/screen_name","user_mentions/9/id_str","user_mentions/9/name","user_mentions/9/screen_name"
"1509177882169556996","2022-03-30T14:37:00.000Z","2920","🎉MINDBLOWON UNIVERSE
WHITELIST GIVEAWAY! 🎉

Rules to enter:
- Follow @MindblowonNFT , @DotRumor and @Lucky99eth 
- Like , Retweet and tag 3 NFT degens

#MindblowonNFT #NFTs 
Picking a Winner today. https://t.co/oaiK51EbfF","MindblowonNFT","NFTs",,,,,,,,,,,,,,,,,,,,,,"1509177882169556996","2851","2824",,,,"https://twitter.com/Lucky99eth/status/1509177882169556996",,,,,,,,,,,,,"none",,,"none",,"false","2021-07-22T22:51:01.000Z","false","Web3 | Building @DotRumor 
BAYC 2782","false","0","2108",,,"6048",,"2494","false","true","1418342796944105500","1418342796944105474","false","false",,"24","","38",,"Lucky99.eth","6048",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1418342796944105474/1648647889",,"http://pbs.twimg.com/profile_images/1437719924181512195/oem92hu8_normal.jpg","https://pbs.twimg.com/profile_images/1437719924181512195/oem92hu8_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Lucky99eth","811",,"none",,,"false",,"1479963153546940417","MINDBLOWON UNIVERSE","MindblowonNFT","1499690727760084994",".Rumor","DotRumor","1418342796944105474","Lucky99.eth","Lucky99eth",,,,,,,,,,,,,,,,,,,,,
"1509403226923175945","2022-03-31T05:32:27.000Z","29","Let’s find you a collector. Drop your #NFT ✅
#NFTGiveaway","NFT","NFTGiveaway",,,,,,,,,,,,,,,,,,,,,,"1509403226923175945","10","18",,,,"https://twitter.com/NFTsBoosts/status/1509403226923175945",,,,,,,,,,,,,"none",,,"none",,"false","2022-03-29T23:25:41.000Z","false","📡 It’s Time To Get Connected | NFT, Crypto & Blockchain All in One Source | 📩 DM for Inquiries | #NFT #Metaverse #Defi #ETH #DYOR","false","0","870",,,"1826",,"34","false","false","1508948502105133000","1508948502105133056","false","false",,"1","Metaverse","1",,"NFTsBoosts","1826",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1508948502105133056/1648617945",,"http://pbs.twimg.com/profile_images/1509353328207024129/KO3qhBNV_normal.jpg","https://pbs.twimg.com/profile_images/1509353328207024129/KO3qhBNV_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","NFTsBoosts","34",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509012388305059841","2022-03-30T09:14:10.000Z","4","@hiddenzuki Done

#NFT #NFTCommunity #Whitelist #NFTcollection #azuki #InvisibleFriends","NFT","NFTCommunity","Whitelist","NFTcollection","azuki","InvisibleFriends",,,,,,,,,,,,,,,,,,"1509096637763026949","0","0",,,,"https://twitter.com/eridelfierro/status/1509096637763026949",,,,,,,,,,,,,"none",,,"none",,"false","2022-02-08T08:43:47.000Z","false","ga joining account, my old acc got sus- @Jeongwifeyyy, #ayuminati, #bunnified, #gemhostfamily, big wins cutie 🍀","false","0","3312",,,"98",,"2952","false","true","1490969519632044000","1490969519632044035","false","false",,"4","Metro Manila","744",,"bae 🍀","98",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1490969519632044035/1648012035",,"http://pbs.twimg.com/profile_images/1506496959271825408/moqvBQTm_normal.jpg","https://pbs.twimg.com/profile_images/1506496959271825408/moqvBQTm_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","eridelfierro","4459",,"none",,,"false",,"1500663415102226436","HiddenAzuki","hiddenzuki",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509399118044491778","2022-03-31T05:16:07.000Z","154","Drop your eth wallet I'll gift you my NFT it worth a lot 🎁

#NFTs
#NFT #NFTCommunity #NFTGiveaways #ETH https://t.co/IoqWxtQroM","NFTs","NFT","NFTCommunity","NFTGiveaways","ETH",,,,,,,,,,,,,,,,,,,"1509399118044491778","176","133",,,,"https://twitter.com/grungeastor/status/1509399118044491778",,,,,,,,,,,,,"promotable_user",,,"none",,"false","2021-07-27T13:29:41.000Z","false","founder and owner of rxeeclub

we're building underground empire here you know how to get in","false","0","622",,,"5500",,"463","false","false","1420013473770180600","1420013473770180608","false","false",,"1","Florida, USA","131",,"xree","5500",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1420013473770180608/1648642511",,"http://pbs.twimg.com/profile_images/1509141635791482888/EpMWdzne_normal.jpg","https://pbs.twimg.com/profile_images/1509141635791482888/EpMWdzne_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","grungeastor","1983",,"none","https://t.co/cbB5H0i1O0",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509410809020964864","2022-03-31T06:02:35.000Z","3","Like snakes, let us shed what does not serve us to our highest potential. 🐍🖤 #artist #NFTCommunity #NFT https://t.co/nV1PkeTowi","artist","NFTCommunity","NFT",,,,,,,,,,,,,,,,,,,,,"1509410809020964864","0","0",,,,"https://twitter.com/trippyjadeart/status/1509410809020964864",,,,,,,,,,,,,"none",,,"none",,"false","2022-01-18T23:09:38.000Z","false","NFT Collection coming soon. #nftartist #nftcommunity #trippyart #psychedelicartist","false","0","692",,,"64",,"10","false","false","1483577295797379000","1483577295797379076","false","false",,"0","","54",,"Trippy Jade","64",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1483577295797379076/1644016768",,"http://pbs.twimg.com/profile_images/1490087059872096256/W1BO2KpI_normal.jpg","https://pbs.twimg.com/profile_images/1490087059872096256/W1BO2KpI_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","trippyjadeart","135",,"none","https://t.co/hmQZMr9w8c",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1508866242811207690","2022-03-29T17:58:40.000Z","512","A hacker stole $625 million from the blockchain behind NFT game Axie Infinity https://t.co/Et7oSnV1bU https://t.co/F6uQjmNA7S",,,,,,,,,,,,,,,,,,,,,,,,"1508866242811207690","159","235",,,,"https://twitter.com/verge/status/1508866242811207690","theverge.com/2022/3/29/2300…","https://www.theverge.com/2022/3/29/23001620/sky-mavis-axie-infinity-ronin-blockchain-validation-defi-hack-nft?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter","https://t.co/Et7oSnV1bU",,,,,,,,,,"promotable_user",,,"none",,"false","2011-04-01T19:54:22.000Z","false","https://t.co/W2SFxIXkC4 covers life in the future.","false","0","1433",,,"2962699",,"180","true","true","275686563","275686563","true","false",,"37703","New York","153065",,"The Verge","2962699",,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/275686563/1601391578",,"http://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_normal.jpg","https://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_normal.jpg","000000","EFEFEF","333333","true","false","false","verge","207167",,"regular","http://t.co/W2SFxIXkC4",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509406408554565638","2022-03-31T05:45:05.000Z","18","Drop your #NFT, I wanna support some of you! 👇👇

Check #NFTGiveaway 🎁📌
Ending soon","NFT","NFTGiveaway",,,,,,,,,,,,,,,,,,,,,,"1509406408554565638","14","12",,,,"https://twitter.com/LordNFT0/status/1509406408554565638",,,,,,,,,,,,,"none",,,"none",,"false","2012-09-21T12:10:43.000Z","false","Artist supporter, @NFT Collector & investor 📈| DM inquires 📩","false","0","23476",,,"1522",,"76","false","false","837647358","837647358","false","false",,"1","","265",,"Lord 🔱","1522",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/837647358/1648619891",,"http://pbs.twimg.com/profile_images/1502234775263891456/EkXZEkdy_normal.jpg","https://pbs.twimg.com/profile_images/1502234775263891456/EkXZEkdy_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","LordNFT0","617",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509069795819413505","2022-03-30T07:27:31.000Z","827","I’ll buy 7 NFTs ✅",,,,,,,,,,,,,,,,,,,,,,,,"1509069795819413505","1095","135",,,,"https://twitter.com/MoodyOwlNFT/status/1509069795819413505",,,,,,,,,,,,,"promotable_user",,,"none",,"false","2017-11-06T11:34:57.000Z","false","Founder of @doodlesmutants | #NFT influencer | Drop your nft👇 I Entrepreneur I DM for PROMOTION 📩 #metaverse #eth #crypto 💌","false","0","10645",,,"119216",,"3287","true","true","927499539682070500","927499539682070528","false","false",,"237","Amsterdam, The Netherlands","361",,"MoodyOwl.eth","119216",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/927499539682070528/1647127579",,"http://pbs.twimg.com/profile_images/1504419875405676544/hxc-1tZy_normal.jpg","https://pbs.twimg.com/profile_images/1504419875405676544/hxc-1tZy_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","MoodyOwlNFT","7665",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509146937580085251","2022-03-30T12:34:03.000Z","105","Visa launches NFT program as it considers the digital art a new form of ecommerce: The credit card giant Visa has launched a NFT creator program in an effort to bring small businesses into the digital economy. 

“We’ve seen… https://t.co/DeYMBarLGO #boxing #boxingnews #news","boxing","boxingnews","news",,,,,,,,,,,,,,,,,,,,,"1509146937580085251","42","20",,,,"https://twitter.com/melissa_vee/status/1509146937580085251","dlvr.it/SMf04G","http://dlvr.it/SMf04G","https://t.co/DeYMBarLGO",,,,,,,,,,"none",,,"none",,"false","2019-10-03T18:26:44.000Z","false","","false","0","0",,,"17",,"1","false","false","1179825032215896000","1179825032215896065","false","false",,"0","","1232",,"Melissa A Vee","17",,"F5F8FA",,,"false",,,,"http://pbs.twimg.com/profile_images/1179825189816852480/bAKvFmOh_normal.jpg","https://pbs.twimg.com/profile_images/1179825189816852480/bAKvFmOh_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","melissa_vee","3060",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1509407262707699717","2022-03-31T05:48:29.000Z","59","FREE #NFT Giveaway 

Winner announced in 48hrs ⏰ 

Drop your #ETH address,
Follow + Like + Retweet ✨ https://t.co/3mPpRjyGmm","NFT","ETH",,,,,,,,,,,,,,,,,,,,,,"1509407262707699717","54","57",,,,"https://twitter.com/nftvz/status/1509407262707699717",,,,,,,,,,,,,"promotable_user",,,"none",,"false","2021-12-26T01:53:19.000Z","false","Marketing Pro 👨🏽‍💻 | NFT Whale 🐋 | Dm For Promo 📩 Organic Growth 🚀 | BAYC #8848 | Retweets: $35","false","0","2110",,,"79472",,"270","false","false","1474921199339806700","1474921199339806721","false","false",,"95","Total NFTs Given Away: 532","554",,"VZ • Marketing Agent","79472",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1474921199339806721/1648321316",,"http://pbs.twimg.com/profile_images/1507794954969620486/Se452eMp_normal.jpg","https://pbs.twimg.com/profile_images/1507794954969620486/Se452eMp_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","nftvz","1247",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
